,id,Salario,Perfil,Ativo01,Ativo02,Ativo03,Ativo04,Ativo05,Ativo06,Ativo07,Nota1,Nota2
0,id0000859,$51483.81,Agressivo,1273.95,5080.37,3565.44,,5635.72,,513.38,47.59927787868772,7.057028252320475
1,id0022202,$457.43,Conservador,1121.09,4927.51,3911.58,5511.7,5593.4,,497.28,37.35375667632985,61.51666532681599
2,id0002056,$93245.46,Moderado,,5283.71,2914.76,,4707.33,,499.06,98.8954066623354,45.197865735994434
3,id0005674,$3044.00,Agressivo,1353.76,5827.28,2998.24,16341.7,4712.65,2007.44,515.1,50.65808931346341,65.66073546570134
4,id0004777,$880.30,Agressivo,,5695.77,3525.98,,4147.29,,506.77,72.99388186791721,55.5305798475254
5,id0017369,$41.61,Agressivo,1511.84,4505.14,3194.43,14782.47,4040.47,,502.09,,18.49897528510719
6,id0011594,$31822.77,Conservador,1180.98,4754.37,2812.15,23236.91,6496.04,2122.96,492.85,77.73630962121703,83.32989216117181
7,id0018309,$71.73,Moderado,1256.95,5696.01,3745.73,18349.69,4491.45,,500.31,46.79454421106389,42.950364921332685
8,id0031874,$31938.24,Moderado,1167.86,5032.67,,14204.75,5444.83,2519.63,501.35,70.7026043415649,21.440298887537523
9,id0000389,$6.49,Agressivo,1125.42,5257.99,3558.66,12411.65,6129.65,2253.41,484.73,9.0889963484012,33.80674053375845
10,id0020233,$158.14,Agressivo,1276.88,5464.17,2705.91,,4132.88,2837.78,491.39,7.986304934683641,83.13866500398413
11,id0031291,$94587.36,Conservador,920.53,,2648.26,34236.97,,2120.4,499.62,28.45259814734693,66.49456305842864
12,id0035908,$4.21,Moderado,,4923.4,3286.63,,6236.77,,501.47,42.70701086415548,29.5316931652448
13,id0017223,$39629.42,Conservador,1666.34,4686.4,3193.81,17358.17,4986.2,2091.8,502.01,38.1726147737706,48.54841936196672
14,id0001981,$6.51,Conservador,1001.16,4746.24,2862.38,,5900.12,2338.75,509.82,1.0483373192770928,75.17063592600913
15,id0029939,$88.34,Conservador,870.5,4928.57,3504.01,13890.09,,,528.62,29.24213009578316,79.86170327871187
16,id0004934,$52.28,Agressivo,878.07,5060.58,3404.74,14124.5,,2840.69,481.83,90.98145877129912,75.7140384628309
17,id0032271,$0.87,Moderado,836.33,5616.72,2667.71,10909.69,,2062.95,510.78,6.649848987807649,67.65972217893001
18,id0016692,$81264.88,Conservador,1123.61,4842.65,3203.35,25598.97,4553.17,,492.39,36.88744499786385,14.945691154625052
19,id0022520,$150.03,Agressivo,1038.45,5330.62,,23042.54,,,506.41,80.23735414385281,17.763933678184472
20,id0022394,$3.60,Conservador,915.88,5140.9,3804.07,,5307.23,2045.47,488.69,3.4258330257884606,58.45548660212041
21,id0032159,$206.45,Moderado,872.4,5054.79,2889.46,28199.28,5401.15,,491.24,10.67581320546226,52.33997858651259
22,id0007883,$52035.63,Moderado,883.22,5572.56,2607.21,10489.98,6580.35,,501.08,32.15568023247699,43.71669561483591
23,id0001790,$291.55,Agressivo,,4908.46,3601.37,6831.87,,2654.72,503.18,6.690678662956362,79.5569992580454
24,id0001203,$66.79,Moderado,1232.95,4898.12,2736.88,22381.06,4985.6,2399.63,499.21,16.48972006527274,37.69810746485626
25,id0015534,$885.61,Conservador,1397.92,5255.3,2791.0,12906.13,4372.39,,489.28,65.96038172923797,3.202497342262489
